Time (JD),Relative Flux,Relative Flux Error
2458888.213,0.99669445,0.001774812
2458888.214,0.99568313,0.001776615
2458888.215,0.99560666,0.001776751
2458888.217,0.99632454,0.001775471
2458888.218,0.9959022,0.001776224
2458888.22,0.99634355,0.001775437
2458888.221,0.99550694,0.001776929
2458888.222,0.99697626,0.00177431
2458888.224,0.9958456,0.001776325
2458888.225,0.99575865,0.00177648
2458888.227,0.9964328,0.001775278
2458888.228,0.9972866,0.001773758
2458888.229,0.9964341,0.001775276
2458888.231,0.9967063,0.001774791
2458888.232,0.9966608,0.001774872
2458888.234,0.99599475,0.001776059
2458888.235,0.9954683,0.001776998
2458888.236,0.99684256,0.001774548
2458888.238,0.99593943,0.001776157
2458888.239,0.99771446,0.001772997
2458888.24,0.99717635,0.001773954
2458888.242,0.99669427,0.001774812
2458888.243,0.99647146,0.001775209
2458888.245,0.9969644,0.001774331
2458888.246,0.9964669,0.001775217
2458888.247,0.9975742,0.001773247
2458888.249,0.9982179,0.001772103
2458888.25,0.99763244,0.001773143
2458888.252,0.9981236,0.001772271
2458888.253,0.9972453,0.001773831
2458888.254,0.99682885,0.001774573
2458888.256,0.9983886,0.0017718
2458888.257,0.9975748,0.001773246
2458888.259,0.99726784,0.001773791
2458888.26,0.99826825,0.001772014
2458888.261,0.99856865,0.001771481
2458888.263,0.9983561,0.001771858
2458888.264,0.9970328,0.00177421
2458888.265,0.9974716,0.001773429
2458888.267,0.998785,0.001771097
2458888.268,0.9980595,0.001772384
2458888.27,0.9981726,0.001772184
2458888.271,0.9976897,0.001773041
2458888.272,0.9978883,0.001772689
2458888.274,0.99955755,0.001769728
2458888.275,0.99852526,0.001771558
2458888.278,0.9988562,0.001770971
2458888.279,0.99881786,0.001771039
2458888.281,0.99871874,0.001771215
2458888.282,0.9992342,0.001770301
2458888.284,0.99853194,0.001771546
2458888.285,0.9989286,0.001770842
2458888.286,0.9994898,0.001769848
2458888.288,0.99907416,0.001770584
2458888.289,0.9993731,0.001770055
2458888.29,0.99916774,0.001770419
2458888.292,0.9986958,0.001771255
2458888.293,0.99910164,0.001770536
2458888.295,0.9989015,0.00177089
2458888.296,0.9991974,0.001770366
2458888.297,0.9981849,0.001772162
2458888.299,0.9991288,0.001770488
2458888.3,0.99949676,0.001769836
2458888.302,0.9995942,0.001769663
2458888.303,1.0005654,0.001767946
2458888.304,0.9997558,0.001769377
2458888.306,1.0005455,0.001767981
2458888.307,0.99983454,0.001769238
2458888.309,1.0001187,0.001768735
2458888.31,0.9997121,0.001769455
2458888.311,1.0003096,0.001768398
2458888.313,0.99828887,0.001771977
2458888.314,0.99936074,0.001770077
2458888.315,1.0011008,0.001767
2458888.317,1.0000883,0.001768789
2458888.318,1.0000112,0.001768925
2458888.32,1.0001942,0.001768602
2458888.321,1.000031,0.00176889
2458888.322,1.0002184,0.001768559
2458888.324,0.99943954,0.001769937
2458888.325,0.9996462,0.001769571
2458888.327,1.0003853,0.001768264
2458888.328,0.9995457,0.001769749
2458888.329,0.9997837,0.001769328
2458888.331,0.99920726,0.001770349
2458888.332,0.99964184,0.001769579
2458888.334,0.999854,0.001769203
2458888.335,1.0009552,0.001767257
2458888.336,1.0004102,0.00176822
2458888.338,1.0001163,0.001768739
2458888.339,0.99980617,0.001769288
2458888.34,1.0009762,0.00176722
2458888.342,1.0001606,0.001768661
2458888.343,1.0002999,0.001768415
2458888.345,0.9997354,0.001769413
2458888.346,1.0005863,0.001767909
2458888.347,1.0000479,0.00176886
2458888.349,1.0004141,0.001768213
2458888.35,1.0001311,0.001768713
2458888.352,1.0000776,0.001768808
2458888.353,1.0003593,0.00176831
2458888.354,0.99993414,0.001769062
2458888.356,1.0004232,0.001768197
2458888.357,0.9999048,0.001769114
2458888.359,0.99849427,0.001771613
2458888.36,1.0000728,0.001768816
2458888.361,0.9995976,0.001769657
2458888.363,0.99982566,0.001769254
2458888.364,0.9987329,0.001771189
2458888.365,0.99986476,0.001769184
2458888.367,0.9998644,0.001769185
2458888.368,1.0006876,0.00176773
2458888.37,0.99937993,0.001770043
2458888.371,1.0006508,0.001767795
2458888.372,0.99994975,0.001769034
2458888.374,1.0001261,0.001768722
2458888.375,1.0008105,0.001767513
2458888.377,0.999683,0.001769506
2458888.378,1.0001194,0.001768734
2458888.379,0.99949896,0.001769832
2458888.381,0.99960035,0.001769652
2458888.382,0.998615,0.001771399
2458888.384,0.9989324,0.001770836
2458888.385,0.9995929,0.001769666
2458888.386,0.99942786,0.001769958
2458888.388,1.0001283,0.001768718
2458888.389,0.9995883,0.001769674
2458888.39,0.9993426,0.001770109
2458888.392,1.000521,0.001768024
2458888.393,1.0003505,0.001768325
2458888.395,1.0003189,0.001768381
2458888.396,1.0005687,0.00176794
2458888.397,0.99994725,0.001769039
2458888.399,0.99870515,0.001771239
2458888.4,0.99931043,0.001770166
2458888.402,1.0006403,0.001767813
2458888.403,0.999655,0.001769556
2458888.404,1.001229,0.001766774
2458888.406,0.99982417,0.001769256
2458888.407,0.99967206,0.001769526
2458888.409,1.0007808,0.001767565
2458888.41,0.99981964,0.001769264
2458888.411,1.000019,0.001768912
2458888.413,0.9986573,0.001771324
2458888.414,0.9996988,0.001769478
2458888.415,1.0002656,0.001768475
2458888.417,1.0003084,0.0017684
2458888.418,1.0002908,0.001768431
2458888.42,0.9995051,0.001769821
2458888.421,1.0003754,0.001768281
2458888.422,1.0000702,0.001768821
2458888.424,0.99939597,0.001770014
2458888.425,0.99984723,0.001769216
2458888.427,0.99961925,0.001769619
2458888.428,0.999702,0.001769473
2458888.429,0.9994476,0.001769923
2458888.431,1.000212,0.00176857
2458888.432,1.0000879,0.00176879
2458888.434,0.99940246,0.001770003
2458888.435,1.0002931,0.001768427
2458888.436,1.0000805,0.001768803
2458888.438,0.9997885,0.001769319
2458888.439,0.99944186,0.001769933
2458888.44,1.0005519,0.001767969
2458888.442,0.9999518,0.001769031
2458888.443,0.998708,0.001771234
2458888.445,1.0005689,0.001767939
2458888.446,0.999597,0.001769658
2458888.447,1.0007515,0.001767617
2458888.449,1.000292,0.001768429
2458888.45,0.9996805,0.00176951
2458888.452,0.9998724,0.001769171
2458888.453,0.9998912,0.001769138
2458888.454,0.99989647,0.001769128
2458888.456,0.9999886,0.001768965
2458888.457,1.0001388,0.0017687
2458888.459,1.0000323,0.001768888
2458888.46,1.0001014,0.001768766
2458888.461,1.0004851,0.001768088
2458888.463,0.99960387,0.001769646
2458888.464,1.0007312,0.001767653
2458888.465,0.99957186,0.001769703
2458888.467,1.000042,0.001768871
2458888.468,0.9994955,0.001769838
2458888.47,0.99985284,0.001769206
2458888.471,0.99938935,0.001770026
2458888.472,1.0004933,0.001768073
2458888.474,1.0004927,0.001768074
2458888.475,0.9988432,0.001770994
